Name,LinkedIn URL
Suzy Ryoo,
Troy Carter,https://www.linkedin.com/in/troy-carter-20928774/
Naval Ravikant,
Bobby Goodlatte,https://www.linkedin.com/in/bobby-goodlatte/
Alexis Ohanian,https://www.linkedin.com/in/alexisohanian/
Ameet Shah,https://www.linkedin.com/in/ameetshah/
Varsha Rao,https://www.linkedin.com/in/varsharao/
Joanne Chen,https://www.linkedin.com/in/joanne-chen-8486677/
Scott Belsky,https://www.linkedin.com/in/scottbelsky/
Jason Demant,https://www.linkedin.com/in/jasondemant/
Shaan Puri,https://www.linkedin.com/in/shaanpuri/
Suleman Ali,https://www.linkedin.com/in/sulemanali/
Naomi Pilosof Ionita,https://www.linkedin.com/in/naomipilosofionita/
Howard Lindzon,https://www.linkedin.com/in/howardlindzon/
Aaron Schwartz,https://www.linkedin.com/in/aaroncharlesschwartz/
Kevin Rose,https://www.linkedin.com/in/kevinrose/
Will Peng,https://www.linkedin.com/in/williampeng/
Eric Ries,https://www.linkedin.com/in/eries/
Chris Sacca,https://www.linkedin.com/in/chrissacca/
Hunter Walk,https://www.linkedin.com/in/hunterwalk/
Marc Andreessen,n/a
Owen Brainard,https://www.linkedin.com/in/owen-brainard-925a942/
Loic Le Meur,https://www.linkedin.com/in/loiclemeur/
Hiten Shah,https://www.linkedin.com/in/hnshah
Nir Eyal,https://www.linkedin.com/in/nireyal/
Brian Pokorny,https://www.linkedin.com/in/brpokorny/
Kevin Carter,https://www.linkedin.com/in/carterkev
John Doerr,https://www.linkedin.com/in/john-doerr-03248211/
Rui Ma,https://www.linkedin.com/in/ruima/
Andreas Klinger,https://www.linkedin.com/in/andreasklinger/
Sachin Agarwal,https://www.linkedin.com/in/a4agarwal/
Hana Yang,https://www.linkedin.com/in/hanayang/
Miyuki Matsumoto,http://linkedin.com/in/miyuki-matsumoto-7468162
Jacob Jaber,https://www.linkedin.com/in/jacobjaber/
Matt Mazzeo,https://www.linkedin.com/in/matthewmazzeo/
Sim Blaustein,www.linkedin.com/in/simblaustein
Sam Olstein,https://www.linkedin.com/in/sam-olstein-7949395/
Josh Elman,https://www.linkedin.com/in/joshe/
Robleh Jama,https://www.linkedin.com/in/robjama/
Bryan Schreier,https://www.linkedin.com/in/bryanschreier/
Sean Qiao,n/a
Jeremy Levine,https://www.linkedin.com/in/jerlevine/
Russel Okung,https://www.linkedin.com/in/russellokung/
Balaji S. Srinivasan,https://www.linkedin.com/in/balajissrinivasan/
Josh Cook,https://www.linkedin.com/in/joshuacookesq/
Siqi Chen,https://www.linkedin.com/in/siqic/
Om Malik,https://www.linkedin.com/in/ommalik/
David Schwab,https://www.linkedin.com/in/davidschwab08/
Garry Tan,https://www.linkedin.com/in/garrytan/
Harley Finkelstein,https://www.linkedin.com/in/harleyf/
Zack Linford,https://www.linkedin.com/in/zack-linford-135a5822/
David Ulevitch,https://www.linkedin.com/in/davidu/
Rick Yang,https://www.linkedin.com/in/rickcyang/
Sarah Adler,https://www.linkedin.com/in/sarahadlerhartman/
Andrew Peek,linkedin.com/in/drupeek
Satish Kanwar,https://www.linkedin.com/in/skanwar/
Morris Wheeler,https://www.linkedin.com/in/mowheeler/
Christopher Lyle,https://www.linkedin.com/in/christopherlyle/
Geoff Donaker,https://www.linkedin.com/in/gdonaker/
James Currier,https://www.linkedin.com/in/jamescurrier/
Jana Messerschmidt,https://www.linkedin.com/in/janamesserschmidt/
